iter	RMSE
0	1.882852072
1	1.882160379
2	1.881542717
3	1.880889683
4	1.880451409
5	1.879968075
6	1.879478315
7	1.878979029
8	1.878643387
9	1.878334679
10	1.878053109
11	1.877701388
12	1.877321002
13	1.877027911
14	1.876739534
15	1.87632723
16	1.876206241
17	1.87582653
18	1.87565746
19	1.875438798
20	1.875262169
21	1.874902191
22	1.87469471
23	1.874341389
24	1.874246931
25	1.873983348
26	1.873981694
27	1.873551169
28	1.873551169
29	1.873364567
30	1.873137975
31	1.872877276
32	1.872603288
33	1.872365041
34	1.872249265
35	1.872128625
36	1.871943592
37	1.871763858
38	1.871702527
39	1.871675781
40	1.871421
41	1.871268676
42	1.871045354
43	1.871017553
44	1.870895883
45	1.870624121
46	1.870525512
47	1.870502489
48	1.87048111
49	1.870227357
50	1.870201815
51	1.870159042
52	1.870082006
53	1.87005518
54	1.869830088
55	1.869762842
56	1.869695098
57	1.869680145
58	1.869621395
59	1.869536942
60	1.869530556
61	1.869446805
62	1.869433516
63	1.869340664
64	1.869335105
65	1.869325991
66	1.869310411
67	1.869265975
68	1.869257723
69	1.869122119
70	1.869112877
71	1.868944221
72	1.868937976
73	1.868930724
74	1.868884933
75	1.868876705
76	1.868829332
77	1.868614151
78	1.86857598
79	1.868368232
80	1.868178535
81	1.868138164
82	1.868124258
83	1.868117856
84	1.868114988
85	1.868058936
86	1.86805418
87	1.867991071
88	1.86794682
89	1.867749364
90	1.867482357
91	1.867468802
92	1.867227784
93	1.867115328
94	1.866956352
95	1.866824302
96	1.866725731
97	1.866505184
98	1.866299411
99	1.86611572
100	1.866004199
101	1.865961539
102	1.865826545
103	1.865519569
104	1.865417739
105	1.865210169
106	1.865181911
107	1.865084197
108	1.864962108
109	1.864877101
110	1.864846908
111	1.864515176
112	1.864484335
113	1.864394501
114	1.86422777
115	1.86415553
116	1.86407834
117	1.863918546
118	1.863826698
119	1.863588532
120	1.863458979
121	1.863386137
122	1.863129695
123	1.86307907
124	1.86293256
125	1.862847928
126	1.862518204
127	1.862204517
128	1.862158123
129	1.861874697
130	1.861609848
131	1.861463386
132	1.861215971
133	1.861146378
