iter	Passed	Remaining
0	17	17325
1	80	40270
2	143	47596
3	206	51368
4	272	54307
5	345	57289
6	400	56794
7	463	57452
8	516	56872
9	570	56509
10	628	56549
11	686	56513
12	743	56481
13	797	56138
14	857	56333
15	912	56134
16	943	54568
17	1004	54779
18	1062	54880
19	1122	54987
20	1174	54764
21	1237	54997
22	1293	54934
23	1353	55041
24	1406	54844
25	1465	54906
26	1479	53314
27	1535	53306
28	1543	51677
29	1600	51747
30	1655	51756
31	1714	51860
32	1769	51865
33	1827	51919
34	1885	51981
35	1932	51736
36	1993	51895
37	2049	51889
38	2101	51778
39	2136	51272
40	2199	51457
41	2261	51577
42	2314	51516
43	2350	51067
44	2405	51047
45	2471	51252
46	2517	51053
47	2569	50965
48	2618	50829
49	2674	50816
50	2724	50687
51	2774	50588
52	2827	50519
53	2883	50518
54	2940	50519
55	2996	50515
56	3051	50479
57	3106	50458
58	3159	50387
59	3217	50400
60	3272	50379
61	3328	50351
62	3382	50306
63	3436	50256
64	3490	50211
65	3544	50157
66	3599	50128
67	3651	50050
68	3706	50006
69	3761	49972
70	3815	49928
71	3871	49895
72	3925	49850
73	3978	49781
74	4032	49731
75	4087	49696
76	4141	49646
77	4201	49660
78	4255	49612
79	4305	49517
80	4359	49466
81	4412	49395
82	4465	49333
83	4517	49267
84	4571	49207
85	4627	49182
86	4683	49153
87	4738	49104
88	4795	49086
89	4855	49092
90	4910	49052
91	4967	49023
92	5025	49016
93	5083	49000
94	5140	48967
95	5201	48977
96	5257	48939
97	5310	48879
98	5359	48777
99	5414	48728
100	5473	48716
101	5526	48652
102	5582	48619
103	5637	48571
104	5692	48522
105	5738	48395
106	5786	48293
107	5839	48225
108	5895	48192
109	5947	48119
110	5997	48035
111	6050	47970
112	6106	47933
113	6165	47919
114	6224	47905
115	6285	47903
116	6340	47852
117	6392	47782
118	6445	47715
119	6494	47624
120	6548	47567
121	6601	47510
122	6653	47442
123	6711	47411
124	6762	47337
125	6813	47264
126	6865	47196
127	6917	47128
128	6974	47088
129	7020	46986
130	7068	46887
131	7126	46861
132	7179	46803
133	7234	46753
134	7286	46689
135	7339	46630
136	7400	46619
137	7452	46548
138	7509	46515
139	7572	46514
140	7631	46494
141	7684	46429
142	7735	46356
143	7783	46267
144	7836	46207
145	7888	46144
146	7935	46045
147	7989	45991
148	8043	45942
149	8093	45865
150	8141	45776
151	8195	45724
152	8257	45715
153	8307	45634
154	8360	45578
155	8416	45532
156	8473	45495
157	8537	45499
158	8594	45461
159	8650	45416
160	8704	45358
161	8758	45304
162	8811	45245
163	8869	45213
164	8923	45155
165	8975	45094
166	9029	45038
167	9082	44977
168	9135	44922
169	9193	44885
170	9246	44825
171	9292	44731
172	9337	44638
173	9384	44549
174	9444	44523
175	9505	44503
176	9564	44472
177	9622	44436
178	9678	44389
179	9738	44363
180	9798	44337
181	9855	44297
182	9907	44230
183	9962	44181
184	10005	44077
185	10061	44032
