iter	Passed	Remaining
0	74	59921
1	84	33746
2	99	26389
3	111	22268
4	122	19505
5	133	17706
6	149	16970
7	168	16716
8	178	15707
9	192	15212
10	201	14485
11	214	14082
12	231	14011
13	241	13542
14	255	13349
15	267	13127
16	280	12902
17	290	12628
18	306	12607
19	323	12618
20	336	12498
21	349	12342
22	360	12192
23	367	11889
24	382	11866
25	395	11768
26	406	11639
27	416	11484
28	427	11352
29	436	11204
30	447	11094
31	457	10968
32	466	10853
33	477	10755
34	491	10732
35	501	10648
36	509	10505
37	523	10499
38	537	10497
39	547	10395
40	561	10398
41	572	10334
42	584	10283
43	591	10157
44	606	10169
45	621	10193
46	634	10163
47	647	10137
48	658	10086
49	668	10022
50	679	9981
51	693	9972
52	702	9896
53	719	9938
54	731	9909
55	744	9885
56	757	9870
57	769	9843
58	787	9889
59	798	9853
60	813	9855
61	822	9787
62	830	9720
63	850	9785
64	868	9816
65	882	9817
66	893	9770
67	907	9764
68	915	9695
69	924	9636
70	933	9589
71	938	9494
72	952	9482
73	962	9438
74	972	9398
75	984	9380
76	995	9350
77	1006	9313
78	1016	9273
79	1021	9196
80	1038	9221
81	1050	9199
82	1065	9201
83	1076	9176
84	1087	9149
85	1095	9094
86	1100	9018
87	1107	8959
88	1112	8889
89	1119	8831
90	1126	8774
91	1138	8761
92	1155	8782
93	1169	8781
94	1179	8754
95	1194	8763
96	1206	8743
97	1215	8704
98	1224	8671
99	1227	8593
100	1235	8552
101	1249	8547
102	1254	8489
103	1269	8492
104	1276	8447
105	1291	8456
106	1307	8468
107	1318	8449
108	1329	8429
109	1336	8386
110	1346	8358
111	1361	8366
112	1373	8353
113	1388	8353
114	1401	8347
115	1410	8317
116	1417	8275
117	1431	8274
118	1442	8253
119	1453	8237
120	1469	8245
121	1480	8225
122	1493	8221
123	1507	8220
124	1528	8251
125	1540	8240
126	1553	8233
127	1567	8230
128	1581	8225
129	1594	8217
130	1606	8203
131	1617	8185
132	1628	8168
133	1646	8184
134	1663	8195
135	1672	8164
136	1682	8142
137	1693	8122
138	1706	8114
139	1714	8080
140	1732	8096
141	1743	8079
142	1753	8057
143	1767	8053
144	1780	8044
145	1796	8045
146	1806	8024
147	1817	8008
148	1831	8003
149	1840	7974
150	1854	7968
151	1868	7967
152	1879	7946
153	1890	7932
154	1901	7910
155	1911	7889
156	1921	7871
157	1932	7852
158	1944	7838
159	1958	7835
160	1969	7817
161	1986	7821
162	1996	7800
163	2007	7786
164	2018	7766
165	2029	7751
166	2040	7735
167	2054	7729
168	2065	7712
169	2073	7684
170	2083	7665
171	2097	7659
172	2109	7645
173	2121	7633
174	2132	7617
175	2142	7594
176	2157	7592
177	2170	7584
178	2183	7576
179	2195	7560
180	2207	7548
181	2218	7533
182	2233	7528
183	2244	7513
184	2255	7497
185	2266	7480
186	2277	7466
187	2289	7451
188	2300	7438
189	2311	7422
190	2327	7421
191	2340	7412
192	2352	7397
193	2366	7391
194	2377	7377
195	2389	7364
196	2406	7364
197	2418	7354
198	2431	7343
199	2447	7343
200	2461	7335
201	2474	7325
202	2491	7327
203	2511	7336
204	2522	7321
205	2536	7315
206	2551	7310
207	2569	7311
208	2580	7296
209	2595	7291
210	2610	7286
211	2623	7276
212	2636	7264
213	2648	7252
214	2659	7237
215	2673	7228
216	2684	7211
217	2700	7209
218	2715	7204
219	2726	7188
220	2737	7171
221	2747	7154
222	2761	7144
223	2773	7130
224	2783	7114
225	2794	7097
226	2805	7082
227	2816	7066
228	2827	7050
229	2838	7033
230	2849	7019
231	2861	7004
232	2872	6989
233	2883	6975
234	2895	6960
235	2905	6943
236	2918	6932
237	2930	6919
238	2941	6905
239	2954	6894
240	2966	6881
241	2980	6871
242	2992	6858
243	3005	6847
244	3018	6837
245	3029	6823
246	3042	6812
247	3056	6802
248	3068	6790
249	3084	6785
250	3101	6784
251	3114	6773
252	3127	6761
253	3141	6753
254	3154	6742
255	3170	6737
256	3182	6723
257	3197	6717
258	3214	6714
259	3228	6704
260	3240	6691
261	3254	6682
262	3267	6672
263	3279	6658
264	3294	6650
265	3310	6645
266	3321	6630
267	3334	6618
268	3347	6607
269	3359	6593
270	3373	6585
271	3386	6574
272	3402	6568
273	3415	6556
274	3425	6540
275	3438	6527
276	3452	6518
277	3466	6509
278	3478	6496
279	3496	6492
280	3511	6485
281	3526	6478
282	3540	6468
283	3556	6461
284	3568	6448
285	3583	6439
286	3598	6431
287	3609	6417
288	3624	6408
289	3637	6396
290	3649	6382
291	3662	6371
292	3673	6356
293	3689	6350
294	3702	6337
295	3714	6323
296	3726	6311
297	3740	6300
298	3752	6287
299	3767	6279
300	3781	6268
301	3792	6253
302	3805	6242
303	3819	6232
304	3832	6219
305	3845	6207
306	3860	6200
307	3873	6186
308	3885	6174
309	3898	6161
310	3911	6150
311	3924	6137
312	3936	6125
313	3948	6111
314	3960	6097
315	3973	6086
316	3985	6072
317	3997	6059
318	4009	6045
319	4020	6030
320	4036	6023
321	4050	6013
322	4063	6000
323	4076	5989
324	4087	5974
325	4102	5965
326	4114	5952
327	4125	5936
328	4136	5922
329	4146	5906
330	4159	5893
331	4171	5879
332	4182	5866
333	4195	5853
334	4208	5841
335	4219	5826
336	4231	5812
337	4243	5799
338	4254	5785
339	4267	5773
340	4279	5760
341	4291	5746
342	4304	5734
343	4316	5721
344	4328	5708
345	4341	5696
346	4354	5684
347	4370	5676
348	4383	5664
349	4398	5655
350	4412	5644
351	4425	5632
352	4437	5618
353	4449	5605
354	4461	5592
355	4473	5579
356	4484	5564
357	4497	5552
358	4509	5539
359	4522	5527
360	4533	5513
361	4547	5502
362	4558	5488
363	4571	5476
364	4584	5464
365	4598	5452
366	4610	5439
367	4622	5426
368	4635	5414
369	4649	5403
370	4662	5391
371	4676	5380
372	4697	5377
373	4713	5369
374	4725	5355
375	4736	5340
376	4749	5328
377	4761	5315
378	4774	5303
379	4785	5289
380	4798	5276
381	4810	5264
382	4828	5256
383	4839	5242
384	4852	5230
385	4863	5216
386	4876	5204
387	4892	5195
388	4906	5183
389	4918	5170
390	4932	5159
391	4944	5146
392	4960	5137
393	4973	5124
394	4985	5112
395	4997	5098
396	5009	5085
397	5021	5072
398	5032	5058
399	5043	5043
400	5056	5030
401	5068	5017
402	5080	5004
403	5092	4991
404	5103	4977
405	5115	4963
406	5126	4949
407	5141	4939
408	5151	4924
409	5166	4914
410	5178	4901
411	5190	4888
412	5202	4874
413	5216	4864
414	5228	4850
415	5242	4839
416	5261	4832
417	5274	4820
418	5287	4808
419	5300	4795
420	5313	4783
421	5325	4770
422	5337	4757
423	5353	4747
424	5368	4736
425	5380	4724
426	5392	4710
427	5405	4698
428	5417	4684
429	5433	4675
430	5446	4662
431	5457	4648
432	5470	4636
433	5482	4623
434	5498	4613
435	5511	4601
436	5528	4591
437	5538	4577
438	5550	4564
439	5565	4553
440	5576	4539
441	5588	4526
442	5601	4514
443	5612	4499
444	5627	4489
445	5643	4479
446	5657	4467
447	5672	4456
448	5684	4444
449	5698	4432
450	5715	4423
451	5728	4410
452	5740	4396
453	5755	4386
454	5772	4377
455	5788	4366
456	5799	4353
457	5811	4339
458	5824	4327
459	5836	4314
460	5849	4301
461	5861	4288
462	5874	4275
463	5886	4262
464	5899	4250
465	5912	4237
466	5924	4224
467	5936	4211
468	5950	4199
469	5963	4187
470	5975	4174
471	5991	4163
472	6004	4151
473	6017	4138
474	6031	4127
475	6046	4115
476	6058	4102
477	6071	4089
478	6083	4076
479	6096	4064
480	6111	4053
481	6124	4040
482	6136	4027
483	6148	4014
484	6161	4001
485	6173	3988
486	6190	3978
487	6201	3965
488	6218	3955
489	6231	3942
490	6243	3929
491	6258	3918
492	6275	3907
493	6288	3895
494	6299	3881
495	6310	3867
496	6324	3855
497	6337	3843
498	6349	3830
499	6362	3817
500	6374	3804
501	6386	3791
502	6399	3778
503	6411	3765
504	6423	3752
505	6433	3737
506	6444	3724
507	6455	3710
508	6468	3698
509	6480	3685
510	6492	3671
511	6503	3658
512	6515	3645
513	6530	3633
514	6541	3619
515	6553	3606
516	6564	3593
517	6575	3579
518	6586	3566
519	6597	3552
520	6613	3541
521	6624	3527
522	6640	3517
523	6654	3504
524	6664	3491
525	6676	3477
526	6687	3464
527	6700	3452
528	6711	3438
529	6722	3424
530	6733	3411
531	6744	3397
532	6755	3383
533	6770	3372
534	6782	3359
535	6798	3348
536	6810	3335
537	6826	3324
538	6838	3311
539	6850	3298
540	6864	3286
541	6876	3273
542	6888	3260
543	6898	3246
544	6910	3233
545	6923	3220
546	6937	3208
547	6948	3195
548	6959	3181
549	6972	3169
550	6983	3156
551	6998	3144
552	7009	3131
553	7021	3117
554	7032	3104
555	7044	3091
556	7057	3078
557	7070	3066
558	7083	3053
559	7095	3040
560	7107	3027
561	7121	3015
562	7131	3002
563	7144	2989
564	7156	2976
565	7168	2963
566	7179	2950
567	7192	2937
568	7203	2924
569	7219	2913
570	7238	2903
571	7255	2891
572	7276	2882
573	7290	2870
574	7303	2857
575	7316	2845
576	7329	2832
577	7340	2819
578	7355	2807
579	7371	2796
580	7383	2783
581	7394	2769
582	7407	2757
583	7419	2744
584	7431	2731
585	7442	2717
586	7458	2706
587	7470	2693
588	7481	2680
589	7493	2667
590	7506	2654
591	7519	2641
592	7533	2629
593	7543	2616
594	7554	2602
595	7567	2590
596	7578	2577
597	7590	2564
598	7601	2550
599	7612	2537
600	7623	2524
601	7635	2511
602	7646	2498
603	7658	2485
604	7670	2472
605	7686	2460
606	7696	2447
607	7710	2434
608	7726	2423
609	7738	2410
610	7748	2396
611	7759	2383
612	7773	2371
613	7785	2358
614	7798	2345
615	7811	2333
616	7823	2320
617	7835	2307
618	7847	2294
619	7858	2281
620	7874	2269
621	7885	2256
622	7897	2243
623	7908	2230
624	7919	2217
625	7931	2204
626	7942	2191
627	7954	2178
628	7966	2165
629	7981	2153
630	7993	2140
631	8008	2128
632	8022	2116
633	8036	2104
634	8048	2091
635	8060	2078
636	8071	2065
637	8084	2052
638	8095	2039
639	8106	2026
640	8116	2013
641	8130	2000
642	8141	1987
643	8152	1974
644	8163	1961
645	8180	1950
646	8193	1937
647	8208	1925
648	8220	1912
649	8239	1901
650	8252	1888
651	8266	1876
652	8280	1864
653	8296	1852
654	8309	1839
655	8321	1826
656	8333	1813
657	8347	1801
658	8364	1789
659	8377	1777
660	8391	1764
661	8402	1751
662	8414	1738
663	8427	1726
664	8439	1713
665	8450	1700
666	8467	1688
667	8480	1675
668	8492	1662
669	8503	1649
670	8515	1637
671	8526	1624
672	8543	1612
673	8553	1599
674	8564	1586
675	8575	1572
676	8587	1560
677	8599	1547
678	8611	1534
679	8623	1521
680	8634	1508
681	8645	1495
