iter	Passed	Remaining
0	19	15376
1	28	11299
2	40	10666
3	54	10811
4	65	10423
5	76	10157
6	83	9408
7	89	8875
8	100	8871
9	113	8973
10	124	8917
11	135	8874
12	146	8846
13	156	8782
14	166	8728
15	177	8697
16	194	8961
17	209	9095
18	224	9232
19	238	9296
20	257	9543
21	268	9506
22	282	9541
23	296	9577
24	306	9501
25	320	9548
26	333	9547
27	345	9519
28	357	9508
29	368	9454
30	381	9464
31	388	9316
32	400	9305
33	407	9179
34	416	9109
35	433	9191
36	444	9174
37	456	9157
38	467	9117
39	477	9081
40	487	9018
41	501	9058
42	510	8982
43	521	8953
44	533	8945
45	543	8914
46	548	8795
47	559	8761
48	572	8767
49	582	8730
50	589	8658
51	599	8618
52	609	8596
53	620	8575
54	629	8526
55	637	8468
56	647	8436
57	655	8390
58	664	8351
59	673	8312
60	682	8271
61	691	8236
62	702	8222
63	718	8264
64	728	8235
65	733	8158
66	743	8129
67	751	8093
68	761	8064
69	768	8016
70	778	7993
71	790	7997
72	804	8014
73	815	8004
74	820	7932
75	829	7899
76	834	7833
77	843	7806
78	849	7754
79	860	7743
80	868	7707
81	873	7646
82	889	7680
83	901	7686
84	910	7657
85	919	7635
86	924	7574
87	934	7556
88	944	7545
89	952	7516
90	961	7493
91	972	7482
92	985	7492
93	994	7471
94	1005	7460
95	1011	7419
96	1021	7406
97	1027	7359
98	1036	7338
99	1048	7341
100	1058	7326
101	1065	7289
102	1070	7241
103	1081	7235
104	1094	7242
105	1102	7218
106	1112	7203
107	1122	7189
108	1132	7179
109	1147	7198
110	1157	7186
111	1167	7174
112	1180	7176
113	1191	7170
114	1197	7133
115	1206	7115
116	1216	7102
117	1229	7106
118	1242	7108
119	1250	7085
120	1254	7041
121	1259	7001
122	1271	6998
123	1274	6949
124	1289	6962
125	1301	6962
126	1312	6955
127	1321	6936
128	1331	6923
129	1343	6922
130	1357	6933
131	1366	6917
132	1376	6903
133	1382	6871
134	1393	6863
135	1408	6878
136	1414	6843
137	1422	6824
138	1434	6822
139	1443	6805
140	1455	6803
141	1466	6794
142	1476	6781
143	1483	6756
144	1490	6732
145	1499	6715
146	1508	6701
147	1515	6675
148	1524	6662
149	1536	6656
150	1542	6630
151	1549	6604
152	1557	6587
153	1566	6571
154	1577	6562
155	1587	6552
156	1593	6527
157	1603	6514
158	1613	6504
159	1620	6481
160	1629	6469
161	1642	6467
162	1648	6442
163	1658	6433
164	1669	6424
165	1676	6403
166	1686	6393
167	1700	6395
168	1710	6385
169	1721	6380
170	1731	6370
171	1744	6367
172	1755	6362
173	1765	6352
174	1776	6343
175	1788	6339
176	1800	6335
177	1810	6327
178	1821	6317
179	1831	6307
180	1841	6298
181	1856	6303
182	1865	6289
183	1875	6280
184	1892	6290
185	1902	6280
186	1911	6267
187	1921	6256
188	1931	6243
189	1946	6248
190	1961	6253
191	1978	6265
192	1991	6264
193	2003	6257
194	2013	6247
195	2025	6241
196	2036	6232
197	2046	6221
198	2055	6206
199	2065	6196
200	2077	6191
201	2087	6179
202	2095	6163
203	2107	6155
204	2119	6151
205	2130	6141
206	2140	6133
207	2152	6127
208	2163	6118
209	2179	6122
210	2190	6113
211	2200	6102
212	2209	6090
213	2220	6079
214	2229	6066
215	2239	6056
216	2249	6043
217	2260	6034
218	2272	6027
219	2283	6021
220	2290	6002
221	2301	5992
222	2310	5979
223	2322	5972
224	2333	5964
225	2346	5958
226	2357	5950
227	2371	5948
228	2380	5936
229	2395	5936
230	2406	5926
231	2423	5932
232	2439	5936
233	2456	5941
234	2467	5933
235	2477	5921
236	2488	5911
237	2502	5909
238	2518	5911
239	2529	5901
240	2544	5900
241	2556	5894
242	2569	5889
243	2581	5882
244	2593	5874
245	2605	5868
246	2616	5858
247	2627	5849
248	2638	5838
249	2648	5826
250	2658	5814
251	2668	5803
252	2679	5793
253	2689	5781
254	2700	5772
255	2714	5767
256	2725	5758
257	2736	5748
258	2753	5750
259	2763	5738
260	2776	5733
261	2788	5726
262	2800	5717
263	2811	5707
264	2825	5703
265	2835	5692
266	2848	5686
267	2863	5684
268	2873	5673
269	2890	5673
270	2900	5662
271	2911	5651
272	2921	5639
273	2932	5628
274	2947	5626
275	2960	5621
276	2971	5610
277	2981	5599
278	2992	5587
279	3002	5575
280	3012	5563
281	3022	5551
282	3032	5540
283	3042	5528
284	3053	5517
285	3063	5505
286	3074	5495
287	3087	5489
288	3101	5484
289	3111	5472
290	3123	5463
291	3135	5454
292	3146	5443
293	3159	5437
294	3168	5424
295	3181	5416
296	3196	5412
297	3206	5401
298	3216	5389
299	3226	5378
300	3237	5367
301	3250	5360
302	3266	5357
303	3277	5347
304	3288	5337
305	3300	5328
306	3315	5323
307	3329	5319
308	3341	5309
309	3356	5305
310	3373	5304
311	3386	5297
312	3400	5291
313	3410	5278
314	3418	5264
315	3434	5260
316	3445	5249
317	3456	5239
318	3469	5231
319	3480	5220
320	3491	5210
321	3501	5198
322	3516	5192
323	3525	5180
324	3536	5168
325	3546	5156
326	3556	5144
327	3567	5133
328	3576	5120
329	3587	5109
330	3598	5098
331	3609	5087
332	3619	5076
333	3630	5065
334	3644	5058
335	3656	5049
336	3667	5038
337	3678	5027
338	3688	5016
339	3698	5003
340	3709	4992
341	3719	4980
342	3729	4969
343	3740	4957
344	3751	4947
345	3766	4941
346	3775	4929
347	3786	4917
348	3799	4910
349	3809	4898
350	3821	4888
351	3832	4877
352	3843	4866
353	3854	4856
354	3864	4844
355	3875	4833
356	3886	4823
357	3900	4815
358	3914	4809
359	3930	4803
360	3940	4791
361	3951	4781
362	3962	4769
363	3975	4761
364	3986	4751
365	3999	4742
366	4012	4733
367	4022	4722
368	4033	4711
369	4048	4704
370	4062	4697
371	4074	4688
372	4090	4682
373	4102	4672
374	4113	4661
375	4125	4652
376	4136	4641
377	4146	4629
378	4158	4619
379	4173	4613
380	4186	4603
381	4198	4593
382	4209	4582
383	4220	4572
384	4229	4559
385	4244	4552
386	4256	4542
387	4267	4531
388	4281	4523
389	4294	4514
390	4305	4503
391	4320	4496
392	4329	4483
393	4339	4471
394	4349	4459
395	4360	4448
396	4377	4443
397	4390	4434
398	4401	4423
399	4414	4414
400	4424	4402
401	4434	4390
402	4449	4383
403	4460	4371
404	4470	4360
405	4481	4349
406	4491	4337
407	4502	4326
408	4516	4317
409	4531	4310
410	4542	4299
411	4555	4289
412	4566	4278
413	4577	4267
414	4589	4258
415	4600	4246
416	4612	4236
417	4624	4225
418	4631	4211
419	4641	4199
420	4651	4187
421	4661	4175
422	4673	4165
423	4688	4157
424	4704	4151
425	4715	4139
426	4732	4133
427	4743	4123
428	4755	4112
429	4765	4100
430	4779	4092
431	4790	4080
432	4800	4068
433	4810	4057
434	4822	4046
435	4833	4035
436	4844	4023
437	4855	4013
438	4872	4006
439	4882	3995
440	4893	3983
441	4904	3972
442	4916	3961
443	4926	3949
444	4937	3939
445	4955	3933
446	4966	3921
447	4976	3909
448	4987	3898
449	5000	3889
450	5011	3877
451	5024	3868
452	5034	3856
453	5048	3847
454	5059	3836
455	5071	3826
456	5083	3815
457	5094	3803
458	5104	3792
459	5118	3783
460	5129	3772
461	5142	3762
462	5153	3751
463	5165	3740
464	5176	3729
465	5190	3719
466	5198	3706
467	5212	3697
468	5222	3685
469	5235	3676
470	5251	3668
471	5262	3656
472	5273	3645
473	5286	3635
474	5296	3624
475	5307	3612
476	5318	3601
477	5328	3589
478	5339	3578
479	5349	3566
480	5360	3555
481	5375	3546
482	5386	3535
483	5400	3526
484	5411	3514
485	5422	3503
486	5432	3491
487	5446	3482
488	5456	3470
489	5467	3459
490	5480	3449
491	5492	3438
492	5507	3429
493	5518	3418
494	5529	3407
495	5543	3397
496	5554	3386
497	5564	3374
498	5577	3364
499	5589	3353
500	5600	3342
501	5612	3331
502	5623	3320
503	5634	3309
504	5646	3298
505	5656	3286
506	5669	3276
507	5680	3265
508	5691	3254
509	5702	3242
510	5717	3233
511	5732	3224
512	5743	3213
513	5756	3203
514	5768	3192
515	5778	3180
516	5789	3169
517	5800	3157
518	5815	3148
519	5825	3137
520	5840	3127
521	5856	3118
522	5873	3110
523	5884	3099
524	5894	3087
525	5904	3075
526	5915	3064
527	5926	3052
528	5937	3041
