iter	Passed	Remaining
0	18	14450
1	29	11884
2	40	10694
3	51	10172
4	64	10302
5	75	9971
6	88	10034
7	100	9964
8	112	9871
9	124	9855
10	135	9753
11	149	9822
12	162	9846
13	172	9663
14	183	9621
15	197	9667
16	206	9528
17	216	9419
18	229	9427
19	242	9453
20	252	9358
21	268	9497
22	279	9441
23	293	9474
24	304	9424
25	315	9386
26	329	9420
27	340	9385
28	353	9399
29	362	9298
30	369	9157
31	377	9052
32	389	9041
33	400	9026
34	411	8998
35	422	8962
36	429	8852
37	439	8808
38	451	8804
39	461	8760
40	473	8756
41	483	8724
42	500	8805
43	514	8847
44	531	8923
45	542	8894
46	554	8882
47	566	8878
48	578	8865
49	590	8851
50	602	8855
51	613	8818
52	628	8858
53	640	8849
54	653	8851
55	661	8787
56	669	8732
57	675	8641
58	684	8599
59	692	8544
60	699	8474
61	703	8371
62	710	8316
63	721	8301
64	732	8278
65	744	8274
66	758	8297
67	769	8286
68	779	8254
69	786	8201
70	801	8227
71	812	8211
72	821	8183
73	839	8232
74	856	8274
75	864	8231
76	872	8190
77	888	8221
78	901	8226
79	914	8226
80	925	8216
81	932	8164
82	945	8164
83	957	8163
84	963	8106
85	970	8058
86	980	8037
87	984	7968
88	995	7954
89	1002	7905
90	1008	7856
91	1018	7835
92	1025	7796
93	1035	7773
94	1042	7735
95	1048	7686
96	1054	7643
97	1065	7634
98	1076	7625
99	1089	7626
100	1100	7613
101	1109	7591
102	1120	7583
103	1129	7561
104	1138	7534
105	1148	7519
106	1156	7488
107	1163	7455
108	1170	7420
109	1178	7393
110	1186	7362
111	1198	7363
112	1214	7381
113	1224	7369
114	1232	7339
115	1238	7301
116	1248	7290
117	1263	7301
118	1274	7296
119	1282	7265
120	1286	7221
121	1302	7240
122	1313	7228
123	1316	7176
124	1327	7167
125	1337	7153
126	1347	7140
127	1357	7124
128	1364	7096
129	1379	7107
130	1392	7109
131	1397	7069
132	1412	7085
133	1417	7047
134	1428	7037
135	1438	7025
136	1448	7010
137	1460	7005
138	1466	6971
139	1475	6958
140	1486	6949
141	1502	6960
142	1513	6954
143	1524	6946
144	1537	6943
145	1550	6943
146	1559	6928
147	1575	6940
148	1586	6933
149	1599	6931
150	1613	6936
151	1625	6929
152	1639	6933
153	1650	6921
154	1657	6896
155	1668	6889
156	1675	6860
157	1685	6850
158	1695	6837
159	1712	6851
160	1723	6839
161	1734	6830
162	1748	6831
163	1755	6807
164	1770	6812
165	1784	6814
166	1797	6813
167	1809	6806
168	1819	6794
169	1828	6775
170	1837	6760
171	1851	6760
172	1865	6760
173	1875	6748
174	1885	6735
175	1897	6726
176	1910	6725
177	1921	6712
178	1933	6707
179	1949	6716
180	1966	6726
181	1981	6729
182	1996	6730
183	2010	6731
184	2023	6725
185	2034	6714
186	2047	6711
187	2055	6690
188	2065	6678
189	2074	6660
190	2084	6647
191	2095	6635
192	2105	6623
193	2119	6620
194	2134	6623
195	2143	6604
196	2151	6586
197	2161	6573
198	2171	6558
199	2185	6556
200	2195	6543
201	2204	6525
202	2212	6507
203	2222	6493
204	2239	6500
205	2250	6489
206	2258	6469
207	2272	6467
208	2287	6467
209	2298	6456
210	2303	6430
211	2313	6415
212	2318	6389
213	2329	6378
214	2340	6368
215	2353	6362
216	2368	6363
217	2382	6360
218	2393	6349
219	2400	6328
220	2410	6314
221	2420	6303
222	2431	6292
223	2442	6280
224	2452	6267
225	2462	6254
226	2473	6244
227	2485	6234
228	2492	6214
229	2498	6191
230	2508	6177
231	2519	6168
232	2532	6163
233	2548	6163
234	2562	6161
235	2573	6150
236	2587	6146
237	2597	6133
238	2607	6120
239	2621	6116
240	2634	6109
241	2645	6100
242	2658	6093
243	2670	6085
244	2686	6086
245	2704	6091
246	2721	6093
247	2740	6099
248	2758	6104
249	2776	6108
250	2792	6107
251	2808	6108
252	2826	6110
253	2842	6110
254	2859	6111
255	2875	6110
256	2892	6112
257	2911	6115
258	2918	6095
259	2932	6090
260	2946	6085
261	2963	6085
262	2980	6084
263	2996	6084
264	3014	6084
265	3030	6083
266	3046	6080
267	3063	6080
268	3079	6078
269	3095	6075
270	3110	6071
271	3126	6069
272	3144	6070
273	3162	6071
274	3177	6066
275	3193	6063
276	3208	6058
277	3221	6049
278	3232	6036
279	3246	6029
280	3257	6016
281	3268	6004
282	3279	5990
283	3289	5976
284	3300	5964
285	3310	5950
286	3323	5940
287	3338	5934
288	3352	5928
289	3368	5923
290	3380	5913
291	3395	5906
292	3408	5897
293	3423	5891
294	3443	5894
295	3456	5884
296	3469	5875
297	3481	5864
298	3494	5855
299	3510	5851
300	3523	5841
301	3536	5831
302	3549	5822
303	3562	5812
304	3576	5804
305	3588	5793
306	3606	5791
307	3622	5786
308	3639	5782
