iter	Passed	Remaining
0	18	48719
1	38	52159
2	51	46100
3	62	42190
4	73	39616
5	84	37907
6	95	36713
7	105	35617
8	118	35458
9	130	35199
10	143	35164
11	155	34833
12	167	34642
13	180	34605
14	193	34574
15	205	34490
16	217	34357
17	229	34198
18	242	34225
19	256	34396
20	268	34235
21	280	34198
22	293	34214
23	304	33924
24	317	33970
25	330	33982
26	346	34301
27	360	34358
28	372	34328
29	385	34313
30	398	34336
31	411	34316
32	424	34342
33	437	34269
34	450	34321
35	462	34261
36	475	34196
37	488	34239
38	501	34200
39	514	34208
40	526	34162
41	539	34121
42	551	34106
43	566	34168
44	579	34206
45	590	34079
46	602	34014
47	615	34015
48	628	34016
49	642	34027
50	654	33989
51	668	34067
52	681	34051
53	693	33996
54	706	33998
55	720	34000
56	732	33984
57	745	33951
58	758	33936
59	771	33956
60	784	33935
61	797	33935
62	810	33905
63	822	33871
64	834	33846
65	847	33810
66	859	33770
67	875	33901
68	886	33798
69	898	33753
70	910	33724
71	921	33643
72	931	33532
73	944	33508
74	955	33455
75	964	33294
76	975	33221
77	984	33095
78	995	33033
79	1013	33198
80	1029	33297
81	1043	33310
82	1057	33327
83	1073	33424
84	1086	33427
85	1100	33460
86	1113	33437
87	1124	33390
88	1136	33356
89	1152	33435
90	1161	33314
91	1175	33331
92	1188	33328
93	1199	33257
94	1208	33137
95	1219	33078
96	1229	32991
97	1239	32913
98	1249	32825
99	1259	32745
100	1271	32708
101	1281	32650
102	1291	32554
103	1302	32499
104	1310	32393
105	1321	32342
106	1331	32273
107	1340	32168
108	1352	32148
109	1361	32062
110	1372	32018
111	1383	31964
112	1394	31936
113	1403	31845
114	1411	31735
115	1421	31671
116	1432	31625
117	1442	31556
118	1453	31530
119	1469	31599
120	1480	31556
121	1490	31493
122	1500	31430
123	1516	31506
124	1530	31521
125	1544	31552
126	1559	31586
127	1572	31587
128	1585	31604
129	1598	31605
130	1609	31559
131	1622	31557
132	1634	31538
133	1643	31473
134	1652	31398
135	1661	31332
136	1673	31302
137	1683	31257
138	1693	31195
139	1704	31161
140	1715	31140
141	1724	31070
142	1734	31014
143	1746	31001
144	1756	30953
145	1767	30922
146	1778	30891
147	1788	30846
148	1799	30804
149	1810	30782
150	1819	30713
151	1829	30674
152	1840	30636
153	1848	30567
154	1859	30538
155	1871	30520
156	1880	30466
157	1890	30418
158	1900	30368
159	1910	30329
160	1920	30285
161	1929	30233
162	1939	30185
163	1947	30116
164	1955	30043
165	1965	30003
166	1974	29952
167	1982	29882
168	2003	30002
169	2013	29959
170	2023	29926
171	2035	29911
172	2044	29869
173	2054	29828
174	2062	29755
175	2075	29761
176	2083	29702
177	2093	29656
178	2101	29597
179	2110	29550
180	2123	29554
181	2131	29486
182	2140	29442
183	2148	29380
184	2157	29331
185	2165	29273
186	2174	29219
187	2183	29171
188	2190	29106
189	2200	29072
190	2208	29017
191	2217	28963
192	2226	28924
193	2236	28884
194	2245	28847
195	2253	28793
196	2262	28748
197	2270	28688
198	2280	28663
199	2289	28623
200	2298	28579
201	2308	28551
202	2317	28506
203	2326	28466
204	2335	28423
205	2344	28386
206	2352	28331
207	2360	28283
208	2377	28332
209	2391	28358
210	2407	28402
211	2421	28421
212	2436	28446
213	2449	28450
214	2465	28496
215	2482	28546
216	2492	28521
217	2502	28491
218	2511	28454
219	2521	28418
220	2530	28384
221	2538	28335
222	2547	28291
223	2560	28304
224	2569	28262
225	2577	28215
226	2585	28162
227	2592	28105
228	2600	28063
229	2609	28018
230	2617	27976
231	2624	27919
232	2633	27879
233	2645	27880
234	2653	27834
235	2661	27792
236	2670	27754
237	2678	27712
238	2687	27670
239	2696	27636
240	2712	27672
241	2720	27635
242	2730	27606
243	2739	27579
244	2748	27542
245	2758	27515
246	2766	27470
247	2774	27429
248	2783	27395
249	2792	27369
250	2806	27378
251	2814	27341
252	2823	27311
253	2832	27279
254	2843	27262
255	2852	27228
256	2861	27204
257	2870	27165
258	2877	27123
259	2885	27077
260	2892	27028
261	2901	26999
262	2910	26970
263	2919	26940
264	2927	26904
265	2936	26869
266	2944	26835
267	2953	26803
268	2960	26756
269	2967	26710
270	2983	26738
271	2994	26726
272	3002	26693
273	3011	26667
274	3019	26630
275	3027	26593
276	3036	26558
277	3043	26516
278	3052	26484
279	3059	26446
280	3067	26405
281	3075	26371
282	3082	26323
283	3094	26328
284	3107	26330
285	3115	26300
286	3128	26307
287	3138	26281
288	3145	26243
289	3154	26213
290	3161	26175
291	3170	26143
292	3176	26098
293	3185	26066
294	3192	26027
295	3201	26003
296	3209	25969
297	3229	26034
298	3239	26011
299	3246	25970
300	3254	25941
301	3263	25909
302	3272	25888
303	3281	25861
304	3289	25833
305	3299	25817
306	3309	25798
307	3318	25771
308	3326	25741
309	3334	25707
310	3342	25677
311	3351	25655
312	3360	25627
313	3367	25588
314	3375	25557
315	3383	25524
316	3395	25523
317	3407	25523
318	3421	25536
319	3440	25587
320	3453	25594
321	3464	25587
322	3473	25559
323	3486	25567
324	3495	25545
325	3505	25528
326	3513	25500
327	3523	25479
328	3532	25454
329	3539	25423
330	3547	25391
331	3556	25369
332	3565	25342
333	3573	25311
334	3581	25283
335	3589	25251
336	3597	25221
337	3604	25189
338	3613	25165
339	3622	25144
340	3630	25117
341	3637	25081
342	3645	25053
343	3654	25028
344	3661	24992
345	3669	24968
346	3690	25025
347	3699	25003
348	3707	24977
349	3718	24965
350	3725	24933
351	3735	24915
352	3743	24889
353	3752	24866
354	3764	24866
355	3771	24830
356	3779	24803
357	3788	24780
358	3795	24750
359	3804	24727
360	3813	24710
361	3822	24689
362	3829	24656
363	3838	24633
364	3847	24614
365	3855	24585
366	3863	24559
367	3873	24543
368	3881	24521
369	3889	24493
370	3897	24464
371	3905	24438
372	3920	24455
373	3927	24428
374	3938	24416
375	3946	24395
376	3956	24377
377	3963	24346
378	3982	24387
379	3995	24393
